----------------------------------------------------
CREATING urbs MODEL
CREATING oemof MODEL
----------------------------------------------------
OBJECTIVE
urbs	 29259572784.55652
oemof	 29259572784.55721
Diff	 -0.000690460205078125
----------------------------------------------------
Memory Used
urbs	 144.0  Mb
oemof	 79.5  Mb
Diff	 64.5  Mb
----------------------------------------------------
Constraint Amount
urbs	 143352
oemof	 82967
Diff	 60385
----------------------------------------------------
----------------------------------------------------
i 	 Storage Hesse 	 (urbs - oemof)
82 	 Storage IN 	 Diff: -549.8
82 	 Storage CON 	 Diff: -176.40898207958395
83 	 Storage CON 	 Diff: -176.40898207958395
84 	 Storage IN 	 Diff: 53.6546817042505
84 	 Storage CON 	 Diff: -133.48523671618398
85 	 Storage CON 	 Diff: -133.48523671618398
86 	 Storage IN 	 Diff: 416.130881579842
86 	 Storage CON 	 Diff: 199.41946854769014
87 	 Storage IN 	 Diff: -549.8
87 	 Storage CON 	 Diff: -240.4205314523099
88 	 Storage IN 	 Diff: 337.71290514405797
88 	 Storage CON 	 Diff: 29.74979266294008
89 	 Storage CON 	 Diff: 29.74979266294008
90 	 Storage CON 	 Diff: 29.74979266294008
91 	 Storage CON 	 Diff: 29.74979266294008
92 	 Storage IN 	 Diff: -20.7858004155274
92 	 Storage CON 	 Diff: 13.12115233052009
93 	 Storage CON 	 Diff: 13.12115233052009
94 	 Storage IN 	 Diff: -16.4014404131472
----------------------------------------------------
----------------------------------------------------
i 	 Transmission Hesse 	 (urbs - oemof)
14 	 Transmission IN 	 Hesse_Lower Saxony 	 Diff: -70.3536653639801
14 	 Transmission OUT 	 Hesse_North Rhine-Westphalia 	 Diff: -70.3536653639822
18 	 Transmission IN 	 Hesse_Baden-Württemberg 	 Diff: 1.374789101992505
18 	 Transmission OUT 	 Hesse_North Rhine-Westphalia 	 Diff: 1.3747891019900038
20 	 Transmission IN 	 Hesse_Thuringia 	 Diff: -23.40671557974298
20 	 Transmission OUT 	 Hesse_Lower Saxony 	 Diff: -23.4067155797437
22 	 Transmission IN 	 Hesse_Thuringia 	 Diff: 105.58600736674217
22 	 Transmission OUT 	 Hesse_Lower Saxony 	 Diff: 105.586007366741
25 	 Transmission IN 	 Hesse_Thuringia 	 Diff: 106.0346357300647
25 	 Transmission OUT 	 Hesse_Lower Saxony 	 Diff: -105.586007366744
26 	 Transmission IN 	 Hesse_Thuringia 	 Diff: -175.169016836673
32 	 Transmission IN 	 Hesse_Thuringia 	 Diff: -70.72897010092699
32 	 Transmission IN 	 Hesse_Baden-Württemberg 	 Diff: 70.7289701009265
33 	 Transmission IN 	 Hesse_Thuringia 	 Diff: 105.5860073667414
33 	 Transmission OUT 	 Hesse_Lower Saxony 	 Diff: 105.586007366741
34 	 Transmission OUT 	 Hesse_Thuringia 	 Diff: 168.256067881759
35 	 Transmission OUT 	 Hesse_Thuringia 	 Diff: -31.037746368013604
36 	 Transmission OUT 	 Hesse_Thuringia 	 Diff: 168.256067881759
37 	 Transmission OUT 	 Hesse_Thuringia 	 Diff: -168.256067881762
37 	 Transmission OUT 	 Hesse_Lower Saxony 	 Diff: -2.5027323020899956
38 	 Transmission OUT 	 Hesse_Thuringia 	 Diff: 168.256067881759
38 	 Transmission OUT 	 Hesse_Lower Saxony 	 Diff: -101.93670068797267
39 	 Transmission OUT 	 Hesse_Thuringia 	 Diff: -22.419336964215006
40 	 Transmission OUT 	 Hesse_Thuringia 	 Diff: 95.17717606756791
40 	 Transmission OUT 	 Hesse_Lower Saxony 	 Diff: -105.586007366744
43 	 Transmission OUT 	 Hesse_Thuringia 	 Diff: -168.256067881762
45 	 Transmission IN 	 Hesse_Thuringia 	 Diff: -15.7785841654941
45 	 Transmission OUT 	 Hesse_Lower Saxony 	 Diff: -15.778584165495502
48 	 Transmission OUT 	 Hesse_North Rhine-Westphalia 	 Diff: 93.7487923131077
53 	 Transmission OUT 	 Hesse_North Rhine-Westphalia 	 Diff: -93.74879231308996
56 	 Transmission OUT 	 Hesse_Thuringia 	 Diff: -27.9469253238474
56 	 Transmission IN 	 Hesse_Baden-Württemberg 	 Diff: -27.94692532384701
60 	 Transmission IN 	 Hesse_Baden-Württemberg 	 Diff: -14.616605140085
61 	 Transmission IN 	 Hesse_Baden-Württemberg 	 Diff: 160.430706696967
64 	 Transmission IN 	 Hesse_Baden-Württemberg 	 Diff: -145.81410155682454
65 	 Transmission OUT 	 Hesse_Thuringia 	 Diff: 13.265880914621007
65 	 Transmission IN 	 Hesse_Lower Saxony 	 Diff: 13.265880914619999
69 	 Transmission OUT 	 Hesse_Thuringia 	 Diff: -83.90161166159969
69 	 Transmission IN 	 Hesse_Baden-Württemberg 	 Diff: -83.9016116615998
74 	 Transmission OUT 	 Hesse_North Rhine-Westphalia 	 Diff: -198.19291542523598
75 	 Transmission OUT 	 Hesse_North Rhine-Westphalia 	 Diff: 198.19291542526702
79 	 Transmission OUT 	 Hesse_Lower Saxony 	 Diff: 88.1563131876711
84 	 Transmission IN 	 Hesse_Baden-Württemberg 	 Diff: 17.6418057163019
84 	 Transmission IN 	 Hesse_Lower Saxony 	 Diff: 58.0262578215339
84 	 Transmission IN 	 Hesse_North Rhine-Westphalia 	 Diff: -75.6680635378358
93 	 Transmission OUT 	 Hesse_Thuringia 	 Diff: -14.761315354981889
93 	 Transmission IN 	 Hesse_Baden-Württemberg 	 Diff: -14.761315354982003
95 	 Transmission IN 	 Hesse_Baden-Württemberg 	 Diff: -117.31778596304551
95 	 Transmission IN 	 Hesse_Lower Saxony 	 Diff: 117.317785963045
----------------------------------------------------
i 	 Transmission Rhineland-Palatinate 	 (urbs - oemof)
8 	 Transmission IN 	 Rhineland-Palatinate_Baden-Württemberg 	 Diff: 66.4661872122871
8 	 Transmission IN 	 Rhineland-Palatinate_North Rhine-Westphalia 	 Diff: -66.466187212287
9 	 Transmission IN 	 Rhineland-Palatinate_Baden-Württemberg 	 Diff: -12.598551562189812
9 	 Transmission IN 	 Rhineland-Palatinate_Saarland 	 Diff: 12.59855156219
10 	 Transmission OUT 	 Rhineland-Palatinate_North Rhine-Westphalia 	 Diff: 17.0562409413822
11 	 Transmission OUT 	 Rhineland-Palatinate_Baden-Württemberg 	 Diff: 78.6747649748235
14 	 Transmission OUT 	 Rhineland-Palatinate_Baden-Württemberg 	 Diff: 7.61268135503522
14 	 Transmission OUT 	 Rhineland-Palatinate_North Rhine-Westphalia 	 Diff: 53.8840053436124
19 	 Transmission OUT 	 Rhineland-Palatinate_North Rhine-Westphalia 	 Diff: -157.227692614857
23 	 Transmission IN 	 Rhineland-Palatinate_North Rhine-Westphalia 	 Diff: -169.648832527111
23 	 Transmission IN 	 Rhineland-Palatinate_Saarland 	 Diff: 169.648832527111
31 	 Transmission IN 	 Rhineland-Palatinate_Baden-Württemberg 	 Diff: -87.6420576656373
31 	 Transmission IN 	 Rhineland-Palatinate_North Rhine-Westphalia 	 Diff: 87.64205766563805
32 	 Transmission IN 	 Rhineland-Palatinate_North Rhine-Westphalia 	 Diff: -102.00583618141098
32 	 Transmission IN 	 Rhineland-Palatinate_Saarland 	 Diff: 102.00583618141101
61 	 Transmission OUT 	 Rhineland-Palatinate_North Rhine-Westphalia 	 Diff: -105.47551367119434
63 	 Transmission OUT 	 Rhineland-Palatinate_North Rhine-Westphalia 	 Diff: 105.4755136713342
70 	 Transmission OUT 	 Rhineland-Palatinate_North Rhine-Westphalia 	 Diff: -55.921079373455505
70 	 Transmission IN 	 Rhineland-Palatinate_Saarland 	 Diff: -55.9210793734556
74 	 Transmission OUT 	 Rhineland-Palatinate_North Rhine-Westphalia 	 Diff: 198.19291542524
75 	 Transmission OUT 	 Rhineland-Palatinate_North Rhine-Westphalia 	 Diff: -198.19291542525497
84 	 Transmission OUT 	 Rhineland-Palatinate_Baden-Württemberg 	 Diff: -29.170429550233
90 	 Transmission IN 	 Rhineland-Palatinate_North Rhine-Westphalia 	 Diff: -42.45561336972099
93 	 Transmission IN 	 Rhineland-Palatinate_Saarland 	 Diff: 13.285183819478604
----------------------------------------------------
i 	 Transmission Bremen 	 (urbs - oemof)
8 	 Transmission IN 	 Bremen_Lower Saxony 	 Diff: 59.8195684910652
10 	 Transmission IN 	 Bremen_Lower Saxony 	 Diff: 216.503182928497
24 	 Transmission OUT 	 Bremen_Lower Saxony 	 Diff: -111.54592611610292
47 	 Transmission OUT 	 Bremen_Lower Saxony 	 Diff: -194.852864635647
71 	 Transmission OUT 	 Bremen_Lower Saxony 	 Diff: 194.852864635647
84 	 Transmission IN 	 Bremen_Lower Saxony 	 Diff: 17.6418057162967
94 	 Transmission IN 	 Bremen_Lower Saxony 	 Diff: -28.60651337760929
----------------------------------------------------
i 	 Transmission Mecklenburg-Vorpommern 	 (urbs - oemof)
1 	 Transmission IN 	 Mecklenburg-Vorpommern_Saxony-Anhalt 	 Diff: -3.988677291442997
1 	 Transmission IN 	 Mecklenburg-Vorpommern_Schleswig-Holstein 	 Diff: 3.9886772914426
6 	 Transmission OUT 	 Mecklenburg-Vorpommern_Berlin 	 Diff: 6.667892855359799
6 	 Transmission IN 	 Mecklenburg-Vorpommern_Brandenburg 	 Diff: 6.667892855362993
10 	 Transmission IN 	 Mecklenburg-Vorpommern_Saxony-Anhalt 	 Diff: -32.4636071322038
10 	 Transmission IN 	 Mecklenburg-Vorpommern_Berlin 	 Diff: 32.463607132203904
11 	 Transmission IN 	 Mecklenburg-Vorpommern_Berlin 	 Diff: 7.4087698392891
11 	 Transmission IN 	 Mecklenburg-Vorpommern_Brandenburg 	 Diff: -7.408769839288993
12 	 Transmission IN 	 Mecklenburg-Vorpommern_Berlin 	 Diff: 7.408769839289199
12 	 Transmission IN 	 Mecklenburg-Vorpommern_Brandenburg 	 Diff: -7.408769839292972
16 	 Transmission IN 	 Mecklenburg-Vorpommern_Saxony-Anhalt 	 Diff: -54.22782772749669
16 	 Transmission IN 	 Mecklenburg-Vorpommern_Berlin 	 Diff: 54.2278277274972
19 	 Transmission IN 	 Mecklenburg-Vorpommern_Saxony-Anhalt 	 Diff: 71.30509276697099
19 	 Transmission IN 	 Mecklenburg-Vorpommern_Berlin 	 Diff: -71.30509276697481
20 	 Transmission IN 	 Mecklenburg-Vorpommern_Saxony-Anhalt 	 Diff: -419.401214694669
20 	 Transmission OUT 	 Mecklenburg-Vorpommern_Schleswig-Holstein 	 Diff: -389.379542568001
20 	 Transmission IN 	 Mecklenburg-Vorpommern_Berlin 	 Diff: 30.021672126669202
24 	 Transmission OUT 	 Mecklenburg-Vorpommern_Schleswig-Holstein 	 Diff: 60.744238770882404
24 	 Transmission IN 	 Mecklenburg-Vorpommern_Brandenburg 	 Diff: 60.74423877088702
27 	 Transmission OUT 	 Mecklenburg-Vorpommern_Schleswig-Holstein 	 Diff: -72.04157245487445
28 	 Transmission OUT 	 Mecklenburg-Vorpommern_Schleswig-Holstein 	 Diff: -106.88843585352801
32 	 Transmission IN 	 Mecklenburg-Vorpommern_Saxony-Anhalt 	 Diff: 32.47665853852999
32 	 Transmission IN 	 Mecklenburg-Vorpommern_Berlin 	 Diff: -32.4766585385334
34 	 Transmission IN 	 Mecklenburg-Vorpommern_Schleswig-Holstein 	 Diff: -27.1022577676436
34 	 Transmission IN 	 Mecklenburg-Vorpommern_Berlin 	 Diff: 4.287496054041696
34 	 Transmission IN 	 Mecklenburg-Vorpommern_Brandenburg 	 Diff: 22.814761713607993
35 	 Transmission IN 	 Mecklenburg-Vorpommern_Schleswig-Holstein 	 Diff: -232.92204523245658
35 	 Transmission IN 	 Mecklenburg-Vorpommern_Brandenburg 	 Diff: 232.92204523246238
36 	 Transmission IN 	 Mecklenburg-Vorpommern_Schleswig-Holstein 	 Diff: 290.625183275692
36 	 Transmission IN 	 Mecklenburg-Vorpommern_Berlin 	 Diff: 8.231966488099
36 	 Transmission IN 	 Mecklenburg-Vorpommern_Brandenburg 	 Diff: -298.857149763787
37 	 Transmission IN 	 Mecklenburg-Vorpommern_Schleswig-Holstein 	 Diff: -4.999999999995694
37 	 Transmission IN 	 Mecklenburg-Vorpommern_Brandenburg 	 Diff: 5.000000000000966
43 	 Transmission IN 	 Mecklenburg-Vorpommern_Schleswig-Holstein 	 Diff: -174.162992697226
43 	 Transmission IN 	 Mecklenburg-Vorpommern_Brandenburg 	 Diff: 174.162992697231
45 	 Transmission OUT 	 Mecklenburg-Vorpommern_Schleswig-Holstein 	 Diff: 63.51586430217406
45 	 Transmission IN 	 Mecklenburg-Vorpommern_Brandenburg 	 Diff: 63.515864302180034
67 	 Transmission IN 	 Mecklenburg-Vorpommern_Saxony-Anhalt 	 Diff: 257.171779596822
67 	 Transmission IN 	 Mecklenburg-Vorpommern_Schleswig-Holstein 	 Diff: -257.171779596822
69 	 Transmission IN 	 Mecklenburg-Vorpommern_Schleswig-Holstein 	 Diff: -52.77380446658202
69 	 Transmission IN 	 Mecklenburg-Vorpommern_Brandenburg 	 Diff: 52.7738044665863
70 	 Transmission IN 	 Mecklenburg-Vorpommern_Saxony-Anhalt 	 Diff: 147.40756938615
70 	 Transmission IN 	 Mecklenburg-Vorpommern_Schleswig-Holstein 	 Diff: -194.366819926904
70 	 Transmission OUT 	 Mecklenburg-Vorpommern_Berlin 	 Diff: -46.9592505407546
72 	 Transmission IN 	 Mecklenburg-Vorpommern_Schleswig-Holstein 	 Diff: -238.416358665673
72 	 Transmission IN 	 Mecklenburg-Vorpommern_Brandenburg 	 Diff: 238.41635866567702
85 	 Transmission IN 	 Mecklenburg-Vorpommern_Schleswig-Holstein 	 Diff: -23.506629552158984
85 	 Transmission IN 	 Mecklenburg-Vorpommern_Berlin 	 Diff: 23.5066295521643
88 	 Transmission IN 	 Mecklenburg-Vorpommern_Saxony-Anhalt 	 Diff: -13.94300751284598
88 	 Transmission IN 	 Mecklenburg-Vorpommern_Brandenburg 	 Diff: 13.9430075128411
89 	 Transmission OUT 	 Mecklenburg-Vorpommern_Berlin 	 Diff: -6.667892855360094
89 	 Transmission OUT 	 Mecklenburg-Vorpommern_Brandenburg 	 Diff: 6.6678928553588985
93 	 Transmission IN 	 Mecklenburg-Vorpommern_Schleswig-Holstein 	 Diff: -5.571248414671004
93 	 Transmission OUT 	 Mecklenburg-Vorpommern_Berlin 	 Diff: -5.571248414671
94 	 Transmission IN 	 Mecklenburg-Vorpommern_Schleswig-Holstein 	 Diff: -6.667892855360037
94 	 Transmission OUT 	 Mecklenburg-Vorpommern_Berlin 	 Diff: -6.667892855360304
98 	 Transmission IN 	 Mecklenburg-Vorpommern_Schleswig-Holstein 	 Diff: 117.4124974729148
98 	 Transmission IN 	 Mecklenburg-Vorpommern_Brandenburg 	 Diff: -117.412497472909
----------------------------------------------------
i 	 Transmission Saxony-Anhalt 	 (urbs - oemof)
1 	 Transmission OUT 	 Saxony-Anhalt_Mecklenburg-Vorpommern 	 Diff: -3.589809562298001
1 	 Transmission IN 	 Saxony-Anhalt_Thuringia 	 Diff: -75.21480956230204
2 	 Transmission IN 	 Saxony-Anhalt_Thuringia 	 Diff: -63.776841702507
2 	 Transmission OUT 	 Saxony-Anhalt_Lower Saxony 	 Diff: -63.77684170250302
3 	 Transmission IN 	 Saxony-Anhalt_Thuringia 	 Diff: -66.48829488434808
3 	 Transmission OUT 	 Saxony-Anhalt_Lower Saxony 	 Diff: -66.48829488434302
4 	 Transmission IN 	 Saxony-Anhalt_Thuringia 	 Diff: 28.852799696372017
4 	 Transmission OUT 	 Saxony-Anhalt_Lower Saxony 	 Diff: 133.85494614928098
4 	 Transmission OUT 	 Saxony-Anhalt_Brandenburg 	 Diff: -176.627146452904
6 	 Transmission OUT 	 Saxony-Anhalt_Berlin 	 Diff: -6.66789285536021
6 	 Transmission IN 	 Saxony-Anhalt_Brandenburg 	 Diff: -6.6678928553570245
7 	 Transmission OUT 	 Saxony-Anhalt_Thuringia 	 Diff: -79.70000000000005
9 	 Transmission OUT 	 Saxony-Anhalt_Thuringia 	 Diff: 34.90000000000009
10 	 Transmission OUT 	 Saxony-Anhalt_Mecklenburg-Vorpommern 	 Diff: -29.2172464189834
10 	 Transmission IN 	 Saxony-Anhalt_Brandenburg 	 Diff: -29.217246418990044
11 	 Transmission OUT 	 Saxony-Anhalt_Thuringia 	 Diff: -7.4087698392900165
11 	 Transmission IN 	 Saxony-Anhalt_Berlin 	 Diff: -7.40876983928911
12 	 Transmission IN 	 Saxony-Anhalt_Berlin 	 Diff: -7.40876983928911
12 	 Transmission IN 	 Saxony-Anhalt_Brandenburg 	 Diff: 7.408769839300021
14 	 Transmission OUT 	 Saxony-Anhalt_Thuringia 	 Diff: 44.799999999988984
15 	 Transmission OUT 	 Saxony-Anhalt_Thuringia 	 Diff: -82.7239495526232
15 	 Transmission IN 	 Saxony-Anhalt_Brandenburg 	 Diff: -3.0239495526220708
16 	 Transmission OUT 	 Saxony-Anhalt_Mecklenburg-Vorpommern 	 Diff: -48.80504495474669
16 	 Transmission IN 	 Saxony-Anhalt_Brandenburg 	 Diff: -48.80504495474099
17 	 Transmission OUT 	 Saxony-Anhalt_Thuringia 	 Diff: 79.70000000000198
19 	 Transmission OUT 	 Saxony-Anhalt_Mecklenburg-Vorpommern 	 Diff: 64.1745834902741
19 	 Transmission IN 	 Saxony-Anhalt_Brandenburg 	 Diff: 64.17458349027902
20 	 Transmission OUT 	 Saxony-Anhalt_Mecklenburg-Vorpommern 	 Diff: -377.461093225202
20 	 Transmission IN 	 Saxony-Anhalt_Thuringia 	 Diff: 75.06269826202902
20 	 Transmission OUT 	 Saxony-Anhalt_Lower Saxony 	 Diff: 371.54406865406986
20 	 Transmission IN 	 Saxony-Anhalt_Brandenburg 	 Diff: -80.9797228331611
21 	 Transmission IN 	 Saxony-Anhalt_Thuringia 	 Diff: 136.12863939320397
22 	 Transmission IN 	 Saxony-Anhalt_Thuringia 	 Diff: -105.58600736674407
22 	 Transmission OUT 	 Saxony-Anhalt_Lower Saxony 	 Diff: -105.586007366735
23 	 Transmission IN 	 Saxony-Anhalt_Thuringia 	 Diff: 1090.808243253849
23 	 Transmission OUT 	 Saxony-Anhalt_Lower Saxony 	 Diff: -480.84170894657
24 	 Transmission IN 	 Saxony-Anhalt_Thuringia 	 Diff: -144.841086147106
24 	 Transmission OUT 	 Saxony-Anhalt_Lower Saxony 	 Diff: 62.343092711692975
24 	 Transmission OUT 	 Saxony-Anhalt_Brandenburg 	 Diff: -207.184178858792
25 	 Transmission IN 	 Saxony-Anhalt_Thuringia 	 Diff: -172.03463573007002
25 	 Transmission OUT 	 Saxony-Anhalt_Lower Saxony 	 Diff: -172.034635730054
26 	 Transmission IN 	 Saxony-Anhalt_Thuringia 	 Diff: 175.16901683665992
26 	 Transmission OUT 	 Saxony-Anhalt_Lower Saxony 	 Diff: 175.16901683668004
30 	 Transmission OUT 	 Saxony-Anhalt_Lower Saxony 	 Diff: 341.17599190597
31 	 Transmission IN 	 Saxony-Anhalt_Thuringia 	 Diff: -945.667431306843
31 	 Transmission OUT 	 Saxony-Anhalt_Lower Saxony 	 Diff: 67.50000000000205
32 	 Transmission OUT 	 Saxony-Anhalt_Mecklenburg-Vorpommern 	 Diff: 29.22899268467802
32 	 Transmission IN 	 Saxony-Anhalt_Thuringia 	 Diff: 29.228992684679042
33 	 Transmission IN 	 Saxony-Anhalt_Thuringia 	 Diff: -105.58600736674703
33 	 Transmission OUT 	 Saxony-Anhalt_Lower Saxony 	 Diff: -105.58600736673702
34 	 Transmission IN 	 Saxony-Anhalt_Lower Saxony 	 Diff: 21.952828791783986
34 	 Transmission OUT 	 Saxony-Anhalt_Berlin 	 Diff: 3.47287180377381
34 	 Transmission OUT 	 Saxony-Anhalt_Brandenburg 	 Diff: 18.4799569880178
35 	 Transmission IN 	 Saxony-Anhalt_Lower Saxony 	 Diff: 188.666856638281
35 	 Transmission OUT 	 Saxony-Anhalt_Brandenburg 	 Diff: 188.666856638289
36 	 Transmission IN 	 Saxony-Anhalt_Thuringia 	 Diff: -34.90000000002402
36 	 Transmission IN 	 Saxony-Anhalt_Lower Saxony 	 Diff: -235.40639845329895
36 	 Transmission OUT 	 Saxony-Anhalt_Berlin 	 Diff: 6.66789285536008
36 	 Transmission OUT 	 Saxony-Anhalt_Brandenburg 	 Diff: -242.07429130867303
37 	 Transmission IN 	 Saxony-Anhalt_Thuringia 	 Diff: 202.79240140024052
37 	 Transmission IN 	 Saxony-Anhalt_Lower Saxony 	 Diff: -3.089792965540994
37 	 Transmission OUT 	 Saxony-Anhalt_Brandenburg 	 Diff: 244.502608434706
38 	 Transmission IN 	 Saxony-Anhalt_Thuringia 	 Diff: 39.10228601785303
38 	 Transmission IN 	 Saxony-Anhalt_Lower Saxony 	 Diff: -121.797778627108
38 	 Transmission OUT 	 Saxony-Anhalt_Brandenburg 	 Diff: -82.695492609246
39 	 Transmission IN 	 Saxony-Anhalt_Thuringia 	 Diff: -314.542367096443
39 	 Transmission OUT 	 Saxony-Anhalt_Brandenburg 	 Diff: -394.242367096428
40 	 Transmission OUT 	 Saxony-Anhalt_Thuringia 	 Diff: -100.59125801393971
40 	 Transmission OUT 	 Saxony-Anhalt_Lower Saxony 	 Diff: 152.1352171751367
40 	 Transmission OUT 	 Saxony-Anhalt_Brandenburg 	 Diff: -51.5439591611878
42 	 Transmission OUT 	 Saxony-Anhalt_Thuringia 	 Diff: 112.69314506972819
42 	 Transmission OUT 	 Saxony-Anhalt_Brandenburg 	 Diff: -112.64386532999
43 	 Transmission IN 	 Saxony-Anhalt_Thuringia 	 Diff: 194.30570116242
43 	 Transmission IN 	 Saxony-Anhalt_Lower Saxony 	 Diff: 198.54018434204102
43 	 Transmission OUT 	 Saxony-Anhalt_Brandenburg 	 Diff: 392.84588550447063
44 	 Transmission IN 	 Saxony-Anhalt_Thuringia 	 Diff: -418.6333043957021
44 	 Transmission OUT 	 Saxony-Anhalt_Lower Saxony 	 Diff: 206.042011119998
44 	 Transmission OUT 	 Saxony-Anhalt_Brandenburg 	 Diff: -624.675315515696
45 	 Transmission IN 	 Saxony-Anhalt_Thuringia 	 Diff: 15.778584165489065
45 	 Transmission OUT 	 Saxony-Anhalt_Lower Saxony 	 Diff: -1.56583415992161
47 	 Transmission IN 	 Saxony-Anhalt_Thuringia 	 Diff: 444.764496447808
47 	 Transmission IN 	 Saxony-Anhalt_Lower Saxony 	 Diff: -368.7902508704841
47 	 Transmission OUT 	 Saxony-Anhalt_Brandenburg 	 Diff: 51.33072852554699
55 	 Transmission IN 	 Saxony-Anhalt_Thuringia 	 Diff: 334.746577968112
55 	 Transmission IN 	 Saxony-Anhalt_Lower Saxony 	 Diff: -334.746577968127
56 	 Transmission OUT 	 Saxony-Anhalt_Thuringia 	 Diff: 57.6177511273596
61 	 Transmission IN 	 Saxony-Anhalt_Thuringia 	 Diff: 130.21668354475798
61 	 Transmission IN 	 Saxony-Anhalt_Lower Saxony 	 Diff: -130.216683544766
63 	 Transmission IN 	 Saxony-Anhalt_Thuringia 	 Diff: -130.21668354486292
63 	 Transmission IN 	 Saxony-Anhalt_Lower Saxony 	 Diff: 130.2166835448545
65 	 Transmission OUT 	 Saxony-Anhalt_Thuringia 	 Diff: -13.265880914612012
65 	 Transmission IN 	 Saxony-Anhalt_Lower Saxony 	 Diff: -13.26588091461008
67 	 Transmission OUT 	 Saxony-Anhalt_Mecklenburg-Vorpommern 	 Diff: 231.45460163714
67 	 Transmission IN 	 Saxony-Anhalt_Lower Saxony 	 Diff: 231.45460163713005
69 	 Transmission OUT 	 Saxony-Anhalt_Brandenburg 	 Diff: 279.29610036165
70 	 Transmission OUT 	 Saxony-Anhalt_Mecklenburg-Vorpommern 	 Diff: 132.666812447535
70 	 Transmission IN 	 Saxony-Anhalt_Lower Saxony 	 Diff: 174.930137934205
70 	 Transmission OUT 	 Saxony-Anhalt_Brandenburg 	 Diff: 42.26332548667
72 	 Transmission IN 	 Saxony-Anhalt_Lower Saxony 	 Diff: 168.47373346741495
72 	 Transmission OUT 	 Saxony-Anhalt_Brandenburg 	 Diff: 193.11725051919802
80 	 Transmission IN 	 Saxony-Anhalt_Thuringia 	 Diff: 380.818729243302
80 	 Transmission IN 	 Saxony-Anhalt_Lower Saxony 	 Diff: -380.8187292433066
81 	 Transmission OUT 	 Saxony-Anhalt_Thuringia 	 Diff: -202.5310991216093
81 	 Transmission OUT 	 Saxony-Anhalt_Brandenburg 	 Diff: 202.531099121614
85 	 Transmission OUT 	 Saxony-Anhalt_Thuringia 	 Diff: 229.724130685043
85 	 Transmission OUT 	 Saxony-Anhalt_Brandenburg 	 Diff: -229.724130685044
86 	 Transmission OUT 	 Saxony-Anhalt_Thuringia 	 Diff: 183.597973046308
86 	 Transmission OUT 	 Saxony-Anhalt_Brandenburg 	 Diff: -183.597973046303
88 	 Transmission OUT 	 Saxony-Anhalt_Mecklenburg-Vorpommern 	 Diff: -12.548706761559998
89 	 Transmission OUT 	 Saxony-Anhalt_Berlin 	 Diff: 6.66789285536008
89 	 Transmission OUT 	 Saxony-Anhalt_Brandenburg 	 Diff: -6.667892855362499
90 	 Transmission IN 	 Saxony-Anhalt_Lower Saxony 	 Diff: 47.17290374413005
90 	 Transmission OUT 	 Saxony-Anhalt_Brandenburg 	 Diff: 47.172903744137955
91 	 Transmission OUT 	 Saxony-Anhalt_Thuringia 	 Diff: 137.981455930846
91 	 Transmission OUT 	 Saxony-Anhalt_Brandenburg 	 Diff: -137.981455930848
93 	 Transmission IN 	 Saxony-Anhalt_Lower Saxony 	 Diff: 5.5712484146740735
93 	 Transmission OUT 	 Saxony-Anhalt_Berlin 	 Diff: 5.57124841467085
94 	 Transmission IN 	 Saxony-Anhalt_Lower Saxony 	 Diff: 35.27440623298003
94 	 Transmission OUT 	 Saxony-Anhalt_Berlin 	 Diff: 6.66789285536008
98 	 Transmission IN 	 Saxony-Anhalt_Lower Saxony 	 Diff: -95.10412295306199
98 	 Transmission OUT 	 Saxony-Anhalt_Brandenburg 	 Diff: -95.10412295305696
----------------------------------------------------
i 	 Transmission Schleswig-Holstein 	 (urbs - oemof)
1 	 Transmission OUT 	 Schleswig-Holstein_Mecklenburg-Vorpommern 	 Diff: 3.58980956229834
1 	 Transmission OUT 	 Schleswig-Holstein_Hamburg 	 Diff: -3.5898095622989956
2 	 Transmission OUT 	 Schleswig-Holstein_Hamburg 	 Diff: 70.86315744722998
3 	 Transmission OUT 	 Schleswig-Holstein_Hamburg 	 Diff: -70.86315744723001
9 	 Transmission OUT 	 Schleswig-Holstein_Hamburg 	 Diff: -31.49972966967698
9 	 Transmission OUT 	 Schleswig-Holstein_Lower Saxony 	 Diff: 31.4997296696765
11 	 Transmission OUT 	 Schleswig-Holstein_Hamburg 	 Diff: 1.2373101917909821
15 	 Transmission OUT 	 Schleswig-Holstein_Hamburg 	 Diff: 19.526293208728987
15 	 Transmission OUT 	 Schleswig-Holstein_Lower Saxony 	 Diff: -19.5262932087295
18 	 Transmission OUT 	 Schleswig-Holstein_Hamburg 	 Diff: 78.58876986037598
18 	 Transmission OUT 	 Schleswig-Holstein_Lower Saxony 	 Diff: -79.82608005217493
20 	 Transmission IN 	 Schleswig-Holstein_Mecklenburg-Vorpommern 	 Diff: -432.643936186667
20 	 Transmission IN 	 Schleswig-Holstein_Hamburg 	 Diff: 2.84473486033359
20 	 Transmission IN 	 Schleswig-Holstein_Lower Saxony 	 Diff: 429.7992013263347
24 	 Transmission IN 	 Schleswig-Holstein_Mecklenburg-Vorpommern 	 Diff: 67.4935986343129
24 	 Transmission IN 	 Schleswig-Holstein_Hamburg 	 Diff: -67.49359863431499
27 	 Transmission IN 	 Schleswig-Holstein_Mecklenburg-Vorpommern 	 Diff: -80.04619161652724
27 	 Transmission IN 	 Schleswig-Holstein_Hamburg 	 Diff: 80.04619161652403
